stop_name,stop_count
Spor Sahası,4
Su Deposu,4
Suphi Koyuncu,4
Surlar,4
Süleymanlı Giriş,4
Tariş,4
Taş Duvar,4
Taşkent,4
Tekel,4
Telsizler,4
Terminal,4
Tire Fabrika,4
Toki Okul,4
Toprak,4
Torbalı Diş Hastanesi,4
Tuna,4
Turna,4
Ulaştırma,4
Uysal,4
Vatan,4
Vicdan,4
Villa,4
Yalı,4
Yamaçevler,4
Yapı Market,4
Yenikent,4
Yeniköy Giriş,4
Yeniköy Yolu,4
Yeşilkent,4
Yeşilköy,4
Yeşilyurt Devlet Hastanesi,4
Yol,4
Yörük,4
Zeytin Ağacı,4
Zeytin Dalı,4
Zeytinler,4
Zeytintepe,4
Zirve,4
Çakırtepe,4
Çamlar,4
Çamönü Orman,4
Çankaya,4
Çarşı,4
Çağrı,4
Çiftçi Gediği Köy Yolu,4
Çilek,4
Çileme Yolu,4
Çiçekçiler,4
Çiğli Aktarma Merkezi,4
Önder,4
Ören,4
Öztürk,4
Öğretmen,4
İnkılap,4
İnönü Mahallesi,4
İrem,4
İş Bankası Evleri,4
Şehit,4
Şehit Muzaffer Erdönmez İlkokulu,4
Şehitler,4
Şehitler Parkı,4
Şirintepe,4
Adnan Saygun Sanat Merkezi,3
Alsancak Gar,3
Altıntaş,3
Arıtma Tesisi,3
Asansör,3
Atatürk Caddesi,3
Atmaca,3
Ağaçlıyol,3
Bahriye Üçok,3
Balkan,3
Balçova İstasyon,3
Balıklıova,3
Bağcılar Çeşme,3
Belevi İstasyon,3
Betonyol,3
Briketçi,3
Buca Oyak Sitesi,3
Cumhuriyet Ortaokulu,3
Demokrasi Meydanı,3
Demokrasi Üniversitesi,3
Dispanser,3
Eski Mezarlık,3
Eski Sinema,3
Eğerci Kara Selviler,3
Eğridere Meydan,3
Fabrikalar 2,3
Flamingo Sitesi,3
Güler,3
Günaltay,3
Güven,3
Halk,3
Havalimanı,3
Heykel,3
Işıkkent Mezarlık,3
Işıklar,3
Karakuyu Cami,3
Kavacık,3
Kavaklı,3
Kozağaç,3
Kubilay,3
Kızılcık,3
Mandıra,3
Mektupçu,3
Menemen Devlet Hastanesi,3
Onur,3
Orman İşletmesi,3
PTT,3
Payamlı,3
Rafet Paşa,3
Saklıbahçe,3
Sanayi Sitesi,3
Sancaklı Meydan,3
Sarısalkım,3
Sempati,3
Sevgi Yolu,3
Seçkinler Sitesi,3
Termal,3
Turgut Reis,3
Tınaztepe Yerleşke Son Durak,3
Ulukent İlköğretim Okulu,3
Uğur Mumcu Parkı,3
Yaşam,3
Yener,3
Yeni Cami,3
Yeni Kent,3
Yeni Mezarlık,3
Yeniköy Küme Evleri,3
Yeşilyurt,3
Yıldırım Beyazıt Cami,3
Ziya Gökalp,3
Çobançeşme,3
Çıkış,3
Ödemiş Cezaevi,3
Örnekköy,3
Öğretmen Evleri,3
Üçkuyular İskele Son Durak,3
İktisadi ve İdari Bilimler Fakültesi,3
İsmet Paşa,3
Şahin Tepesi,3
Şato,3
