stop_id;stop_name;latitude;longitude;has_valid_coordinate
15930;Ödemiş Müzesi;38.228084;27.988934;1
15931;Bayındır Giriş;38.214757;27.656643;1
15932;Bayındır Giriş;38.214438;27.656736;1
15933;İzsu;38.213378;27.647538;1
15934;İzsu;38.213418;27.649338;1
15935;Beydağ Terminal;38.086161;28.21075;1
15936;Kiraz Devlet Hastanesi;38.231042;28.218045;1
15937;Özkan;38.231803;28.216513;1
15938;Özkan;38.231918;28.216143;1
15939;Ziya Gökalp;38.231587;28.212094;1
15940;Ziya Gökalp;38.231432;28.21204;1
15941;Beyazıt;38.231755;28.209687;1
15942;Beyazıt;38.231599;28.209716;1
15943;Kiraz Hükümet Konağı;38.231494;28.206588;1
15944;Kiraz Hükümet Konağı;38.2314365015965;28.2067616976866;1
15945;Okul;38.2309684537881;28.2038926968651;1
15946;Okul;38.2309184517772;28.2038956985687;1
15947;Soğutma Fabrikası;38.281152;27.20306;1
15948;Çamlık;38.280409;27.199183;1
15949;Kısıkköy Sanayi Estim;38.2791901549962;27.1938033239101;1
15950;Kısıkköy Giriş Alt Yol;38.277366;27.187039;1
15951;Ormancı Alt Yol;38.27502;27.180829;1
15952;Yeni Mahalle Alt Yol;38.272686;27.177819;1
15953;Benzinlik;38.275098;27.151894;1
15954;Benzinlik;38.27517;27.151495;1
15955;Torbalı Devlet Hastanesi Kavşağı;38.1769761270725;27.3545221777973;1
15956;Torbalı Devlet Hastanesi Kavşağı;38.1768558325917;27.3543257970271;1
15957;Yol Üstü Benzinlik Anayol;38.21248;28.018775;1
15958;Pancar Tekstil;38.2133586869286;27.2527071181895;1
15959;Pancar Tekstil;38.2131906858569;27.2526411175033;1
15960;Orhan Veli Kanık;38.2158597094412;27.2503421258879;1
15961;Orhan Veli Kanık;38.2156977085077;27.2502341252139;1
15962;Cahit Sıtkı;38.2135486977744;27.2480101155111;1
15963;Cahit Sıtkı;38.2133746964726;27.2480471148588;1
15964;Fazıl Hüsnü Dağlarca;38.2109646839496;27.2458911036735;1
15965;Fazıl Hüsnü Dağlarca;38.2109626835873;27.2460571037888;1
15966;Haldun Taner;38.2086696649536;27.2471960952105;1
15967;Haldun Taner;38.2087536653222;27.2473020956473;1
15968;Kemal Tahir;38.2104066716968;27.24984310446;1
15969;Kemal Tahir;38.2102346711818;27.2495041034971;1
15973;Kosova Mahallesi;38.4126505825574;27.1505273591882;1
15974;Kaleiçi;38.4134085835369;27.1501853583697;1
15975;Kaleiçi;38.4134495838377;27.1503023577603;1
15976;Kadifekale Son Durak;38.4141975804876;27.1476223667462;1
15977;Beydağ Yol Ayrımı;38.1596650113588;28.1338164001787;1
15978;Beydağ Yol Ayrımı;38.1596120083303;28.1336514001698;1
15980;Kuyucak Yolu;38.1903072311745;26.990712068283;1
15981;Kuyucak Yolu;38.1904462325413;26.9902650706521;1
15982;Akkoyunlu Mezarlık;38.1306705988548;27.6620418228411;1
15983;Akkoyunlu Mezarlık;38.1308606025649;27.6622418232393;1
15984;Orhangazi Yolu;38.1814591177861;28.1683810518781;1
15985;Orhangazi Yolu;38.1815579404369;28.1681488253184;1
15986;Çileme Açelya;38.1497624719365;27.1799256188371;1
15987;Çileme Açelya;38.1497434722107;27.179821618497;1
15988;Peşrefli Çiftlik;38.1119857951528;27.844099580177;1
15989;Peşrefli Çiftlik;38.1121227991142;27.8441965793622;1
15990;Tire Fabrika;38.1231143043204;27.7171823102459;1
15991;Tire Fabrika;38.123128304923;27.7170553090813;1
15992;Çaylı Çıkış;38.1457180026767;28.1437565289306;1
15993;Çaylı Çıkış;38.1458264900635;28.1438628971517;1
15994;Çırpı Pazar;38.16777465689;27.4973357012021;1
15995;Çırpı Pazar;38.1676526550389;27.4973347013585;1
15996;Çam;38.1670866530019;27.4944096886844;1
15997;Çam;38.1669846515575;27.4943666886087;1
15998;Tarla;38.1665606507407;27.491912677873;1
15999;Tarla;38.1664336489013;27.4918816778678;1
16000;Güzçiçek;38.1662096503477;27.4897916685607;1
16003;Bayır;38.1874626845547;28.0581300075721;1
16004;Bayır;38.1875326882458;28.0583540074746;1
16005;Değirmenönü;38.2151618279492;28.2066022461798;1
16006;Değirmenönü;38.2152008272918;28.2063562432363;1
16007;Saipler Kavşak;38.2508378433489;27.3816032738943;1
16008;Saipler Kavşak;38.2507198422077;27.3815372740093;1
16009;Maliyeciler Son Durak;38.3841814476747;27.0921296559776;1
16010;Maliyeciler Park;38.3851394518489;27.094684644528;1
16011;Torbalı İZSU;38.1657669721926;27.3663001808102;1
16012;Torbalı İZSU;38.1657789729218;27.3660981801787;1
16013;Torbalı Tren Yolu;38.1658859737461;27.3662231809218;1
16014;Torbalı Tren Yolu;38.1659899335632;27.3662439920589;1
16015;Çınaraltı Evleri;38.0787996486223;27.2407010336352;1
16016;Çınaraltı Evleri;38.0789116504036;27.2405650344032;1
16017;Tepeli;38.2437948878424;27.26081620952;1
