stop_id,stop_name,route_1,route_2
10103,Belediye Sarayı,36,920
10103,Belediye Sarayı,36,930
10103,Belediye Sarayı,36,940
10103,Belediye Sarayı,36,950
10103,Belediye Sarayı,466,811
10103,Belediye Sarayı,466,838
10103,Belediye Sarayı,466,910
10103,Belediye Sarayı,466,920
10103,Belediye Sarayı,466,930
10103,Belediye Sarayı,466,940
10103,Belediye Sarayı,466,950
10103,Belediye Sarayı,811,838
10103,Belediye Sarayı,811,910
10103,Belediye Sarayı,811,920
10103,Belediye Sarayı,811,930
10103,Belediye Sarayı,811,940
10103,Belediye Sarayı,811,950
10103,Belediye Sarayı,838,910
10103,Belediye Sarayı,838,920
10103,Belediye Sarayı,838,930
10103,Belediye Sarayı,838,940
10103,Belediye Sarayı,838,950
10103,Belediye Sarayı,910,920
10103,Belediye Sarayı,910,930
10103,Belediye Sarayı,910,940
10103,Belediye Sarayı,910,950
10103,Belediye Sarayı,920,930
10103,Belediye Sarayı,920,940
10103,Belediye Sarayı,920,950
10103,Belediye Sarayı,930,940
10103,Belediye Sarayı,930,950
10103,Belediye Sarayı,940,950
10104,Sosyal Sigortalar Kurumu,121,202
10104,Sosyal Sigortalar Kurumu,121,253
10104,Sosyal Sigortalar Kurumu,121,910
10104,Sosyal Sigortalar Kurumu,121,920
10104,Sosyal Sigortalar Kurumu,121,940
10104,Sosyal Sigortalar Kurumu,121,950
10104,Sosyal Sigortalar Kurumu,202,253
10104,Sosyal Sigortalar Kurumu,202,910
10104,Sosyal Sigortalar Kurumu,202,920
10104,Sosyal Sigortalar Kurumu,202,940
10104,Sosyal Sigortalar Kurumu,202,950
10104,Sosyal Sigortalar Kurumu,253,910
10104,Sosyal Sigortalar Kurumu,253,920
10104,Sosyal Sigortalar Kurumu,253,940
10104,Sosyal Sigortalar Kurumu,253,950
10104,Sosyal Sigortalar Kurumu,910,920
10104,Sosyal Sigortalar Kurumu,910,940
10104,Sosyal Sigortalar Kurumu,910,950
10104,Sosyal Sigortalar Kurumu,920,940
