route_1,route_2,common_stop_count,common_stop_rank
484,74,22,90
487,920,22,90
5,971,22,90
501,503,22,90
501,513,22,90
501,599,22,90
502,503,22,90
502,513,22,90
503,504,22,90
504,513,22,90
504,599,22,90
508,539,22,90
515,539,22,90
522,588,22,90
537,78,22,90
54,59,22,90
551,6,22,90
551,7,22,90
564,64,22,90
588,823,22,90
6,971,22,90
641,732,22,90
668,767,22,90
668,967,22,90
7,971,22,90
701,714,22,90
707,829,22,90
712,783,22,90
713,783,22,90
719,783,22,90
721,783,22,90
729,799,22,90
729,804,22,90
732,734,22,90
732,961,22,90
732,979,22,90
732,989,22,90
741,742,22,90
742,847,22,90
763,783,22,90
767,768,22,90
768,967,22,90
775,799,22,90
775,804,22,90
776,799,22,90
776,804,22,90
783,784,22,90
783,786,22,90
788,791,22,90
792,799,22,90
792,804,22,90
794,799,22,90
794,804,22,90
799,808,22,90
82,971,22,90
874,875,22,90
910,950,22,90
945,946,22,90
104,465,21,91
104,471,21,91
104,869,21,91
111,317,21,91
111,966,21,91
111,988,21,91
126,135,21,91
126,136,21,91
126,137,21,91
126,197,21,91
126,258,21,91
126,487,21,91
126,741,21,91
126,742,21,91
126,847,21,91
128,826,21,91
135,136,21,91
135,222,21,91
135,326,21,91
135,487,21,91
135,577,21,91
135,853,21,91
135,920,21,91
136,137,21,91
136,197,21,91
136,222,21,91
136,326,21,91
136,430,21,91
136,742,21,91
136,853,21,91
137,222,21,91
137,326,21,91
137,487,21,91
137,853,21,91
137,920,21,91
140,335,21,91
140,477,21,91
148,335,21,91
148,477,21,91
152,828,21,91
17,517,21,91
17,522,21,91
17,877,21,91
171,471,21,91
19,523,21,91
19,524,21,91
196,577,21,91
197,222,21,91
197,326,21,91
197,487,21,91
197,853,21,91
197,920,21,91
202,204,21,91
202,206,21,91
204,206,21,91
222,258,21,91
222,487,21,91
222,741,21,91
222,742,21,91
222,847,21,91
229,430,21,91
249,515,21,91
249,930,21,91
258,326,21,91
258,487,21,91
258,853,21,91
258,920,21,91
268,368,21,91
285,940,21,91
305,321,21,91
305,8,21,91
305,909,21,91
305,975,21,91
305,981,21,91
305,982,21,91
305,983,21,91
305,984,21,91
305,985,21,91
305,987,21,91
317,966,21,91
317,988,21,91
321,971,21,91
326,487,21,91
326,741,21,91
326,742,21,91
326,847,21,91
328,930,21,91
367,505,21,91
374,940,21,91
428,826,21,91
430,529,21,91
471,676,21,91
472,490,21,91
476,536,21,91
487,741,21,91
487,742,21,91
487,847,21,91
487,853,21,91
5,950,21,91
515,940,21,91
524,877,21,91
